127.0.0.1 - - [05/Nov/2013:12:43:35 +0530] "GET / HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:46:09 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13182
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:46:09 +0530] "GET /Shareki/null HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:46:09 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13182
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:46:09 +0530] "GET /Shareki/images/Icon_Shareki.png HTTP/1.1" 200 11340
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:46:21 +0530] "POST /Shareki/shareki HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:46:21 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13201
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:46:21 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13201
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:46:21 +0530] "GET /Shareki/images/SOD.pdf HTTP/1.1" 200 56134
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:46:35 +0530] "POST /Shareki/shareki HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:46:35 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13203
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:46:35 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13203
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:46:35 +0530] "GET /Shareki/images/Photo.jpg HTTP/1.1" 200 48094
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:46:50 +0530] "POST /Shareki/shareki HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:46:50 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13203
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:46:50 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13203
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:46:50 +0530] "GET /Shareki/images/Photo.jpg HTTP/1.1" 200 48094
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:47:58 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13201
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:47:58 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13201
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:47:58 +0530] "GET /Shareki/images/Photo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:48:39 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13201
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:48:39 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13201
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:48:39 +0530] "GET /Shareki/images/Photo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:49:14 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13201
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:49:14 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13201
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:49:14 +0530] "GET /Shareki/images/Photo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:50:06 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13201
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:50:07 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13201
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:50:07 +0530] "GET /Shareki/images/Photo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:50:49 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13220
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:50:49 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13220
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:50:49 +0530] "GET /Shareki/images/Photo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:51:11 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13201
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:51:11 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13201
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:51:35 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13220
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:51:35 +0530] "GET /Shareki/images/Photo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:51:35 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13220
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:51:46 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13220
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:51:46 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13220
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:51:54 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13201
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:51:55 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13201
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:52:29 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13201
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:52:29 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13201
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:52:29 +0530] "GET /Shareki/images/Photo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:53:15 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13201
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:53:15 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13201
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:53:15 +0530] "GET /Shareki/images/Photo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:53:52 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13215
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:53:52 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13215
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:53:59 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13215
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:53:59 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13215
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:53:59 +0530] "GET /Shareki/images/Photo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:55:05 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13225
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:55:05 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13225
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:55:05 +0530] "GET /Shareki/images/Photo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:55:39 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13225
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:55:40 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13225
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:56:10 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13236
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:56:10 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13236
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:56:10 +0530] "GET /Shareki/images/Photo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:56:39 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13238
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:56:39 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13238
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:57:07 +0530] "GET /Shareki/shareki HTTP/1.1" 200 13238
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:57:07 +0530] "GET /Shareki/shareki.css HTTP/1.1" 200 13238
0:0:0:0:0:0:0:1 - - [05/Nov/2013:12:57:07 +0530] "GET /Shareki/images/Photo.jpg HTTP/1.1" 304 -
